line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	9	9	0	2	7	0	0	0	0.333333	2	67	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	69	0.333333	2	0.333333	2
18	9	9	0	2	7	0	0.333333	2	0.333333	2	69	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0.333333	2	71	0.666667	4	0.333333	2
19	9	9	0	2	7	0	0.666667	4	0.333333	2	71	0	0	0	0	0	0	0	0	0	0	0	69	0.333333	2	0.333333	2	72	1	6	1.5	9
21	1	1	0	1	11	1	1	6	1	6	36	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	48	4	24	1	6
21	3	3	0	1	10	1	1	6	1	6	48	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	60	4	24	1	6
21	9	9	0	2	7	1	1	6	1.5	9	72	0	0	0	0	0	0	0	0	0	0	1	71	0.666667	4	0.333333	2	67	2.5	15	0.5	3
21	11	11	0	1	6	1	1	6	1	6	48	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	13	13	0	1	5	1	1	6	1	6	55	1	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	13	13	0	1	5	1	1	6	1	6	64	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	15	15	0	1	4	1	1	6	1	6	60	1	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	15	15	0	1	4	1	1	6	1	6	67	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	17	17	0	1	3	1	1	6	1	6	48	1	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	17	17	0	1	3	1	1	6	1	6	55	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	19	19	0	1	2	1	1	6	1	6	64	1	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	19	19	0	1	2	1	1	6	1	6	72	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	21	21	0	1	1	1	1	6	1	6	67	1	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
